restaurant,review,rating,date
Lavelle,Food was bad had one of their sushi and drinks were inconsistent. The bartender was new and couldn’t make any traditional cocktails right. Overpriced for the experience that we had. Will not return.,1,10/07/2025
Lavelle,Sandy was our waiter and she was amazing! At first we were seated in the far back of the restaurant and I didn’t feel like we would get the full experience being tucked away at the back. I asked to move to a more appealing seat and my request was granted without hesitation. There was a spider near where we were seated and a male worker had no problem killing it for me lol. We went for my bday dinner and she surprised us with complimentary shots. It was my first time there and my experience was amazing! The manager also helped out with our dining experience and I thought that was really nice. I will definitely be going back! Thank you for such a fantastic experience!,5,10/05/2025
Lavelle,Had a fabulous experience at their rooftop with some of their well curated cocktails and amazing food. The service was top notch and the staff especially Dhruv did not leave a single stone unturned when it came to hospitality. Will definitely recommend this place to everyone and it should be part of your bucket list.<br><br>Thanks to everyone at Lavelle to make it a memorable experience.,5,10/02/2025
Lavelle,food overpriced but good,4,10/01/2025
Lavelle,"One of the best experiences i ever had coming to lavelle, I’ve visited the restaurant a couple of times but nothing topped my experience with Dhruv. He was our server for the night and he’s presence from start to finish was exceptional, he made great recommendations from drinks to food and made our date night experience so much better. He is absolutely amazing and so brighten! Definitely recommend asking for him If you ever visit.",5,10/01/2025
Lavelle,"I had an amazing experience. Our server Dhruv was amazing. He made a few recommendations that did not miss.<br>From the cocktails to the food, what he recommended was absolutely amazing. We enjoyed the food. We enjoyed the drinks, and the service which made our date night experience even better.",5,10/01/2025
Lavelle,"Well, I will share a story that would be dishonourable for Lavelle — it happened a year ago.<br><br>There was a lady whom I’m not going to name here due to privacy reasons. She was working as a waitress there. She asked me to visit her there for the first date. Then I went, and she placed at least 3-4 meals and a couple of drinks while I was not even drinking, so she asked if it was okay to give away the drinks to her coworkers (drinking alcohol while they are working!)<br><br>Before paying for all those foods I barely ate, she explained how their tip system worked. So, I ended up adding a big tip so she could flex in front of her coworkers.<br><br>Later, she took me shopping because Lavelle has a dress code for female employees and doesn’t pay for it! Lululemon, etc., experience items, always.<br><br>End of story: I don’t know how this business is running, but hiring some girls with high social media followers and forcing them to bring their dates here to spend money while they are over-ordering food and drinks for the first simple acquaintance is kind of fraud…<br><br>I hope Akash knows what he’s doing here with all these girls and methods of running the business as the manager, but that’s why I don’t recommend this place for dating or at all.",1,09/30/2025
Lavelle,"Had the worst experience of my life ! The staff was extremely racist; had to wait 1.5 hrs to get a table even tho we had a reservation, and saw people coming and getting tables before us. The waitress was clearly not interested in serving us, for no reason. I have been to michellin star restaurant and the smallest fast food place, and never been treated like this. Will never recommend going there !",1,09/29/2025
Lavelle,"The service was very poor, and the portions of food and drinks were very small. It was definitely not worth the price.",1,09/29/2025
Lavelle,"Where do I begin? Went here to grab a drink and stayed the night. 1.You should not be drinking at a bar when you’re serving people. 2.You should not be opening beers with an ice lever as it touches ice and other people drinks- it’s cross contaminating. I have to say once seated we were checked on multiple times and our service was awesome with the server being honest about most drinks - what to get and what NOT to get. We had random people come up to us and say “don’t eat here, food is shit.” It’s beautiful and they had a great DJ! Otherwise, people came and went.",1,09/28/2025
Lavelle,"★☆☆☆☆ Never Again – Completely Ruined a Special Night<br>Absolutely terrible experience. Had a 9:30 PM reservation for a special occasion — I was planning to give my girlfriend a promise ring. We arrived 10 minutes late, tried calling ahead, no answer. Despite mentioning it was a special night, we were seated in the middle of the patio with zero effort to accommodate my request for something more private.<br>My girlfriend got her drink, but mine took 45 minutes so once I got my drink, I asked for the bill because they already ruined the special night I planned in this place , We waited nearly almost  hour just to place a food order, only to find out the steak and grab-and-go weren’t even available. The special dessert surprise I asked for? Completely ignored.<br>They ruined what was supposed to be a beautiful moment. Never coming back, and wouldn’t recommend it to anyone",1,09/28/2025
Lavelle,"Recently celebrated my friends birthday here, and I would highly not recommed it for dining only.<br><br>Defintely a place fit to celebrate on the roof top, when a party function is already going on. Hence, why this place is always having a event - besides that Lavelle is overrated.<br><br>The food options are minimal, and poor selection at that too.<br><br>One of the servers accidently spilt a drink on my friend, and walked off as if she didn't notice. We called her out, because that was so wrong of her to pretend as if it didn't happen and tried to deny it to her colleague and manager.<br><br>Although the manager on site apologized etc. It would of been better if the employee apologized, but she carried on like nothing happen. Disgusting character if you ask me.",2,09/25/2025
Lavelle,Went to lavelle on my birthday. The vibe was great and our server sandy took good care of us. Big thanks to the manager druv to make sure we are having a good time. He made our day extra special,5,09/21/2025
Lavelle,"Not a bad place to spend time with the company, I wouldn't say the food was special. we liked the small burgers they were really delicious. Also, we ordered sushi, it was not bad. This place is good to see the city frim rooftop .",4,09/21/2025
Lavelle,"Service is really bad, we has to wait for  half an hour to get drinks, food and a waitress to take order, no one brought cutlery or plates until we asked. Over price and no good choice of beers. This is one of the places that I will never come back.",2,09/21/2025
Lavelle,"The food was below average. Service was pathetic and very slow. They brought us ice cold pasta. Although thr view is good, it is pricey and not worth the hype.",2,09/20/2025
Lavelle,The Mac n cheese is so good!! I want the recipe 😩😩❤️😋,5,09/20/2025
Lavelle,"The view from the Lavelle is stunning and they have good food, but kind of small portions. Unfortunately, the service is slow. I needed to order multiple times a drink and it took too long. It was a busy weekend but still for the high standard, I expected more.",3,09/20/2025
Lavelle,"Been here a few times and the views are absolutely insane. Prices are definitely more on the pricier side for sure. If you’re not here for bottle service, the lines do tend to get long and wait time can be insane. Plan ahead or grab a booth if coming here at night.",4,09/18/2025
Lavelle,"We came back for our second visit last night, and if our first time was a 10/10, this one was a 100/10! The service was amazing, and the food and drinks were absolutely chef’s kiss! It was my birthday, and they surprised me with a sparkly candle and a sweet birthday message on a plate—it was honestly the cutest thing ever! Can’t wait to come back for round three! 💖✨",5,09/17/2025
Lavelle,Amazing vibe and my husband’s fav spot for a date night,5,09/16/2025
Lavelle,"Loved our time at Lavelle! We tried the himachi crudo, spicy rigatoni, a few rolls, dynamite shrimp, poke bites, truffle parm fries and corn ribs. The pasta was hands down the best, sushi was fresh, and the crudo felt really unique. Drinks were solid, the rooftop view was beautiful, and the vibe was just right.🥂",5,09/15/2025
Lavelle,Overall experience was not the greatest went for an event and had got a table with bottle service. Firstly getting in the line was already a headache as we were told to walk to two separate lines as staff seemed to be confused and RUDE. Upon walking in I realized the place is obviously not being maintained as multiple tiles on the floor are missing and if your in heels you definitely need to be careful once we got to our table which we had paid for previously for this event we waited over 35 minutes to even get acknowledged from any server which I had to request for. Food was great can’t take that away but everything else was a hot mess definitely not worth the hype!,1,09/10/2025
Lavelle,"Amazing city views and surprisingly great food!<br>I came for the view, but the food really impressed me. I ordered the Wagyu Burger — the patty was flavorful, juicy, and you could really taste the quality of the beef. The Sangria was also a standout — well-balanced, refreshing, and full of flavor. Definitely exceeded my expectations!",5,09/09/2025
Lavelle,"All plates I ordered were generally great. Their price is also reasonable. Moreover, our table’s server Tania(?) present nice service. She deserves handsomely paid👍👍 I’m def pulling up there again.",5,09/09/2025
Lavelle,The service was great ~ thanks Tania,5,09/09/2025
Lavelle,"Great food , great vibe and great place",4,09/07/2025
Lavelle,"I recently visited this restaurant to celebrate my birthday, and it was such a wonderful experience! The food was delicious, What truly made the evening special was the excellent customer service. A big shoutout to Apporva and Dhruv – they were extremely polite, friendly, and attentive, which made us feel very welcomed. Their warm hospitality added a personal touch to our celebration.<br><br>Highly recommend this place for both the great food and the amazing service!",4,09/06/2025
Lavelle,"Service slow , food overpriced (shareables are in reality small appetizers, enough for your right hand to share with your left), the real draw is the location and vibe. I did appreciate the management greeting and ensuring everything was going well.",3,09/06/2025
Lavelle,Zahra was amazing! I’ve never felt more taken care of in an establishment!,5,09/06/2025
Lavelle,First time at this place the ambiance and vibes were really nice and our server Zara was excellent,5,09/06/2025
Lavelle,Had a really nice time and our server Zara was very pleasant and made sure we were always taken care of.,5,09/05/2025
Lavelle,Had a great time dining in! Our server zahra was great!,5,09/05/2025
Lavelle,"Had a great night at Lavelle! The rooftop views were stunning and the atmosphere was super chill but upscale. Food and drinks were solid, everything came out fresh and fast.<br><br>Huge shoutout to Zahra – she was honestly the highlight of our night. So friendly, super attentive, and just had such a good vibe. She made us feel really welcome and taken care of.<br><br>Would definitely come back!",5,09/05/2025
Lavelle,"When I went there I had a nice experience. I love the food, it was good. I liked the whole atmosphere, and the service by Zahra was great. Would definitely try this again.",5,09/04/2025
Lavelle,Had a recent family get together .. food was great and atmosphere was amazing... what really made it a hreat experience was our server Zahra! She was great ! Friendly and attentive !,5,09/04/2025
Lavelle,"Recently went here for my friend’s birthday celebration and it was an amazing time! The food was great, and the service was even more memorable. Our server Zahra was so friendly and accommodating, she’s amazing! My friends and I will be coming back soon. :)",5,09/04/2025
Lavelle,"Had a girls dinner here last Friday night, the atmosphere of the rooftop is impeccable! I had the wagyu beef burger and it was delicious but the service made my experience top tier. Zahra was amazing, she recommended amazing items for everyone at our table and not only was she patient with us but she is so much fun! Will come again",5,09/03/2025
Lavelle,"Had a fantastic dinner here—the food was delicious, fresh, and beautifully presented. What really stood out was the service. Our server, Zahra, was incredibly friendly and helpful, offering great menu suggestions and making us feel right at home. Highly recommend this spot, and definitely ask for Zahra if you go",5,09/03/2025
Lavelle,"Came here as a spontaneous outing with my friends. The music was great, the food was good but our service from Zahra was above and beyond. Friendly and made sure we were always good! We will definitely be back!",4,09/03/2025
Lavelle,"Went for the first time yesterday with a friend for winterlicious had Wagyu Beef Burger and Truffle Fries for my main, so juicy and filling, nice bar and decor. Great place for a date, corporate function or simply for fine dining.",5,09/02/2025
Lavelle,I went to this place for my gf’s 30th b’day lunch/brunch/evening drinks and the place was amazing.<br>View is obviously the mainstay of this place but little did we know that the service and food would top that off :),5,09/02/2025
Lavelle,"We were so excited to try this place after hearing good things, but it was a complete disappointment. Terrible service as we were ignored for 30 minutes, and when we were finally served, the waiter was incredibly slow and unhelpful. The food was cold, bland, and took forever to arrive. Drinks were expensive and took even longer than the food, which honestly made no sense. It was also incredibly cold as they had the AC blasting for no reason? It was 14 degrees i’m not sure who thought it was a good idea to give customers hypothermia… Honestly, we felt like we were a burden just being there. I feel as if other people felt the same way as us because two people sat next to us got up and left as they were tired of waiting even longer than we were. Overpriced for what you get, and we left still hungry and frustrated. As tourists, we do not recommend this place. Avoid it at all costs, unless you want to be treated as a joke.",1,09/02/2025
Lavelle,Izzy took care of us for so well! Myiah took such good care of us for brunch. great servers amazing vibes. Will be coming back just for them,5,09/01/2025
Lavelle,The salmon was inedible and everything was too salty,1,08/31/2025
Lavelle,"great experience for my birthday🎂 . We were hosted by Shantey J , i a not sure if i am spelling her name incorrectly but she was so sweet throughout the whole experience. Great food, loved the crazy crab roll.",5,08/30/2025
Lavelle,"Good food, great atmosphere and lovely views. Lychee Martini was delicious and we enjoyed the vegetarian sushi. Sunset views are amazing too.",4,08/30/2025
Lavelle,"Service has gone down tremendously.<br><br>Prices have gone up, while portions have gone down and quality has gone down.<br><br>All the staff seem new, maybe it’s new owner ship?<br><br>Is the restaurant available for sale? Maybe I can make things better.<br><br>Absolute joke,  you’re better off going to king taps right across the street.  Better food, better service, and open later. Terrible service",1,08/29/2025
Lavelle,"Izzy was incredible, made the night.",5,08/29/2025
Lavelle,"What a great experience , Izzy was an amazing server. Definitely recommend her.",5,08/29/2025
Lavelle,Izzy is one of the best<br>Great experience,5,08/29/2025
Lavelle,"Such a great vibe, our server, Isabelle, was so much fun!",5,08/29/2025
Lavelle,"The good part about the place was definitely the location, you can soak up to toronto skyline view for a few hours for sure. But the reality I haven't had such degraded quality food in canada anywhere. When it comes to pricing of the food it is not worth it, the food does not look fresh and also it does not taste fresh.",2,08/28/2025
Lavelle,"A pretty cool spot to hang out with friends or celebrate a birthday. I’ve been here a few times and overall I’d give it a 7/10. The atmosphere and music are great (9/10), but the food could use some improvement. The dessert options are quite limited, and it would be nice to see more variety and some extra character in the menu.<br><br>Food: 6/10<br>Atmosphere & music: 9/10",1,08/27/2025
Lavelle,"View is stunning from the rooftop, especially at night, and the atmosphere is great. Food is average. The service is very slow.",3,08/26/2025
Lavelle,Kareem and Kezia and Mariah are the best they gave us the best seat ever and gave us amazing service. They made my experience,5,08/25/2025
Lavelle,Had the best experience. Dhruv assisted us and made sure that we had the best experience.,5,08/25/2025
Lavelle,Employees were so kind. The place is nice,5,08/24/2025
Lavelle,The guest services gave us the best table and were very nice to us made our day our server never came to our table,5,08/24/2025
Lavelle,"I had the WORST experience ever at Lavelle and would NEVER recommend it.<br><br>I reserved the patio for 11:15 PM and arrived at 10:45 PM, only to receive a message saying the patio was closed due to rain. I asked the host what options I had, and she told me to wait at the bar until she texted me. I waited over an hour with no updates.<br><br>At 12:30, I had to approach the front desk myself. The host casually told me to “just go sit at a table,” without walking me over or offering any service. After sitting down, no one came to take my order. I asked a staff member for help, and she said she’d find me a server, but no one ever came.<br><br>After wasting my night, I finally cancelled the table. When I told the front desk that it was the worst service I’d ever had, the staff mocked me and laughed instead of apologizing sincerely. One of them even tried to brush it off by offering “free pool access” next time, which only made it worse.<br><br>For a place that calls itself high-end, the service was shockingly unprofessional, careless, and rude. I would strongly suggest avoiding Lavelle, you’ll get better service from a street vendor than here.",1,08/24/2025
Lavelle,"Lavelle is always such a vibe! The rooftop views are unreal and the atmosphere is perfect for a night out with friends. Huge shoutout to our server Zara — she was awesome! Super friendly, super attentive, and just made the whole night easy and fun. Honestly, she’s the kind of server that makes you want to come back. If you’re heading here, hope you get Zara taking care of you! 🙌✨",5,08/24/2025
Lavelle,"Me and my friend really enjoyed the evening. The server Apurva was very attentive to our needs and the whole atmosphere is worth it. Good music, yummy food, lovely scenery.",5,08/24/2025
Lavelle,"Loved our dinner and drinks out last weekend! The drinks were great and the service was great too. Beginning with the hostess, Andrea, who honestly elevated our experience. She sat our party quickly at a great table with a pretty view of the city. She brought great energy to the start of our experience, and made the evening all that more fun, checking on us several times throughout the night. Andrea really made a difference to our overall experience at Lavelle!",5,08/23/2025
Lavelle,"This was an amazing experience, and I really enjoyed the food. The service was immaculate and the atmosphere was great. Our server Zahra was able to serve us with great hospitality and made sure everything went smooth for our party. Will be coming back soon.",5,08/23/2025
Lavelle,Had an amazing time with some friends here for a birthday celebration ! Our server Zahra was so friendly and helpful and made our experience wonderful!,5,08/23/2025
Lavelle,"I have really high anxiety and zahra made me felt so comfortable. View was amazing, server was the best. Would come back again ❤️",5,08/23/2025
Lavelle,"We went to Lavelle yesterday for dinner, and my husband booked the rooftop. The ambience was absolutely amazing – beautiful setting, great music, and such a perfect vibe.<br><br>We were served by Essi, and she truly made our evening special. Essi was so friendly, attentive, and quick with service. She even asked if we were celebrating a special occasion, and when we mentioned it was my birthday, she remembered right away.<br><br>When I ordered dessert, Essi surprised me by bringing it with “Happy Birthday” written on the plate along with a candle. That thoughtful gesture meant so much to me and made the night unforgettable.<br><br>A big thank you to Essi for going above and beyond – her kindness and attention to detail really stood out. We had such a wonderful experience and would highly recommend Lavelle for both the ambience and the amazing service.",5,08/23/2025
Lavelle,I love coming here with my friends especially the last time I got served from Zahra she definitely new how to make this place comfortable for my party and was so nice and polite definitely recommend getting service from her 10/10!!,5,08/23/2025
Lavelle,"Wow. This place was amazing? Food was great, drinks even better, and the atmosphere was also beautiful!!! I went the other night with my girls and we LOVED IT! 11/10 recommend, our server was Zahra and she was so sweet! She was always attentive and really had the best vibes. She really made our experience a great one, shoutout to her for being herself and for bringing all the vibes! Can’t wait to come again <3",5,08/23/2025
Lavelle,We had a great time at Lavelle. The food and the atmosphere was amazing. Our server Zahra went above and beyond with her service. Will definitely come back!,5,08/23/2025
Lavelle,"First time in Toronto, and my friends brought me to this place and I must say it did not disappoint me at all. The view was magnificent and the vibe was chill with a touch of class.<br><br>We had the pleasure of being looked after by Zahra who was absolutely wonderful—efficient, attentive, and professional throughout our visit. She managed everything seamlessly, ensuring our orders were taken promptly and delivered correctly, all while maintaining a friendly and welcoming attitude. She anticipated our needs without us having to ask, which made the experience smooth and enjoyable. Excellent service from start to finish!",5,08/23/2025
Lavelle,"My experience at Lavelle, was amazing. Zahra was my server, she was amazing she knew what to recommend without hesitation, very friendly. I usually don’t eat out or like downtown but it was worth the experience the service and the Atmosphere at Lavelle. was good. Zahra continue doing what you do keep up the excellent service.",5,08/23/2025
Lavelle,I don't remember the food tbh (I'm sure it was good) but I'm leaving a review because the service was memorable! Zahra was nothing but kind and attentive and super responsive. It made our meal an experience,4,08/23/2025
Lavelle,"The person who presented himself with a bill did not bother to grab the money in cash and walked away to do something else, when I payed $105 cash and left I was called back to check if I paid or not I was emberrased in front of my friend.",1,08/22/2025
Lavelle,"I went there with zero expectations, I didn't have reservation, they kindly offer me a table in the back, place that if you see my picture is completely nice, we were attended by Lucy, server has a great attitude, explaining everything and helping me to decide what to order she literally rocks. Let's talk about the food, the sushi (Kriptonite roll)  was delicious, the guacamole was absolutely fantastic, has a different combination of flavors that make a unique dish, from the protein I ordered AAA Sirloin Steak, what a nice and unique sauce, all together makes and experience, from dessert I was already full but going to a place and no trying the desserts its like not going, Lucy helps me in this and she offers me the lemon lavender cheesecake, what a nice surprise, its in my top 3 of desserts in Toronto, from the drinks I love the whisky sour, made properly, you can get wrong with a classic cocktail, is not a cheap place at all but definitely feels OK to spend here",5,08/22/2025
Lavelle,"Kristina was an amazing server, very kind and sweet. Amazing customer service!",5,08/21/2025
