restaurant,review,rating,date
McDonald's,Great breakfast menu to start my day,5,01/04/2025
McDonald's,Made my jr chicken so fast. Like 45 seconds. Lit,5,01/04/2025
McDonald's,Service was excellent!!! Fast take-away order and very clean tables ! Always had fresh food at this location !!!!,5,01/02/2025
McDonald's,Best and clean place to eat and enjoy,5,12/30/2024
McDonald's,The food is tasty.. i ordered mcchicken... It was properly cooked... I ordered through uber eats also... Sometimes food gets cold.. but taste and hygiene is not being compromised anytime... The staff is cooperative..,5,12/30/2024
McDonald's,The staff is very  cooperative...very clean ...food is very tasty,5,12/30/2024
McDonald's,Every time I order food from uber it’s always cold and I live five minutes away from this place meaning they always have stale all the time and serve it to customers. bring back good quality please,1,12/20/2024
McDonald's,It was clean and there weren't any homeless guys in the McDonald's.,4,12/17/2024
McDonald's,"Slowest Mc Donald’s in Toronto, don’t go there if you are busy.",2,12/15/2024
McDonald's,Great place for breakfast,5,11/27/2024
McDonald's,GREAT PLACE! Manager Dan and Lebeth are the best!,5,11/21/2024
McDonald's,Nice small location on King St West.,5,11/18/2024
McDonald's,"I experienced fast service, which was great, but I noticed that Uber Eats and SkipTheDishes orders seemed to be prioritized over in-person customers. Another issue was the restroom situation – there was only one single-person bathroom available, and it wasn’t accessible when I needed it. Unfortunately, I had to leave my order (a double fish filet) to find an alternative nearby because I couldn’t wait. This was quite inconvenient and disappointing. Improving restroom access would make a big difference for customers dining in.",2,11/18/2024
McDonald's,Went to front counter to order the food around 6:40pm there was a manager his name was DAN. He was so rude with my frnd and me as like he is frustrated of his job. We had monopoly coupons and he denied to give the food on monopoly coupons. I request to general manager to please train him how to treat a customers as customers are your guest. He is not only the running mcdonalds here in Toronto. I will also complain this guy in head office for deniying the food on monopoly coupons and treating customers in a bad manner.,1,11/16/2024
McDonald's,"Food was fine, typical McDonald’s but if you go before 8am it takes 10+ minutes to get your food and they do not pay attention to you.",2,11/14/2024
McDonald's,Rude girl working the cash at night.,1,11/07/2024
McDonald's,"Worst customer service ever. I ordered on Uber and called right away (not even 2 mins after) to ask for my order well done which means fresh meat and fries dropped in the fryer ATP in time, just for the manager to tell me my order is already ready and she won't be making another sandwich that will be fresh. She then proceeded to tell me that's why I should pick up instead, when I told her about the fact I have a child at home and don't have the leisure of doing that she told me to take it up with uber",1,11/01/2024
McDonald's,The service was horrible. I order one McChicken and I wait 45 minutes. Every time I ask they say it’s coming or not ready. Get better management and more considerate employees. 0/5 if I could.,1,10/25/2024
McDonald's,"I was a this MacDonald on Saturday morning at 7 am i bought breakfast and I was using there debit machine I was charged $8.01 cents for my breakfast and I paid however the manager said to me that i didn’t paid and she charged my card again so she made pay twice after i confronted her she disregard my emotions and told me she didn’t take your money and to leave the store I come back 3 different times she was rude when I asked her name she refused and told me i don’t have to give my name then I said I will call corporate she told me “go ahead i don’t care.” If she doesn’t like her job then she shouldn’t be working there treating customers like trash! I lived in this neighbourhood since 2012, my kids grew up in this McDonald’s. I’m a blogger, I’m gonna take this to the next level. I’m gonna make a YouTube and TikTok video about this McDonald’s. I had to fight to get my refund of $8.01!",1,10/24/2024
McDonald's,"On Saturday a group of friends and I went to eat at this location, I was holding the door open for them and a few people walked out so I held it open for them as well. After I went to enter and one of your employees kicked me out and said they were closed for indoor dining. You seriously couldn't let one person in? Moron.",1,10/07/2024
McDonald's,I pay for my order I'm in hurry they give me no fries wich I pay for it are u guys normally doing this to everyone,1,09/19/2024
McDonald's,"This is a tough location to work at/patronize. All things considered, I think the staff and management do a good job of providing fast and friendly service and seem happy to accommodate customers' needs/requests.",5,09/09/2024
McDonald's,Saturday early morning i ordered mango smoothie ($4.20) The restaurant was busy. The washroom was very messy and it was not cleaned in awhile.I hope next time it is in reasonably good order.,3,08/31/2024
McDonald's,Train ur staff to properly put the ice cream cone in a cup. A simple task that seems to be challenging for blond boy,1,08/27/2024
McDonald's,"This location is always clean, and service is good",4,08/20/2024
McDonald's,"Why does almost every McDonald's I visit, the workers look like zombies with no hope in their eyes? They all look lifeless zombies that have given up in life. Also the way they treat delivery drivers from uber, skipthedishes and doordash is appalling.<br><br>I have seen it for years the blatant disrespect towards drivers. Yes, there are a lot of rude drivers too but they can easily establish rules that if they are rude in any way, mcdonalds can easily tell them to leave the premises. My issue with the mcdonalds workers mainly, is they treat delivery drivers like ghosts, they ignore them and don't treat them at all like walk in customers. There is a 2 tier level of service when it comes to walk in customers and delivery drivers.<br><br>So many of these workers look miserable here and are unorganized in my opinion a lot of the times I have visited and management does not seem to care or resolve this issue in any fashion. The workers seem like they are forced to do this job but I never seen a gun pointed at their heads, forcing them to work. There are other opportunities out there that will require more effort to achieve but I digress.<br><br>Unfortunately, I do not believe this lack of customer service skills will get better until more people voice this concern, like I have done and vote with their wallets.",1,08/09/2024
McDonald's,"I like it , that was so good and i recommend it,",4,08/08/2024
McDonald's,Slow. Can’t even get a coffee here,1,08/02/2024
McDonald's,Went to this location and the customer services from Diana were quite impressive. She helped a lot to get a meal according to my taste. I will come again👍,5,07/29/2024
McDonald's,Slower than other Branches,4,07/20/2024
McDonald's,I came here to pickup order …but I noticed that only this McDonald’s employee very very irresponsible..never ever ready food at all time …they always treat uber people like their servants..not give proper response..every five minutes they tells more 5 minutes..its taking every time 15 to 20 minutes wait time … And its happen everytime,1,07/15/2024
McDonald's,"I would like to thank to ""GAGAN"" she provided me a very good customer service & also she treated all the customers very good",5,07/09/2024
McDonald's,Washroom is very dirty,3,07/08/2024
McDonald's,Gave my order multiple times wrong.<br>Lots of room to improve.,2,07/08/2024
McDonald's,Ish was spisy and taste like a mop🗑️🤮,1,07/02/2024
McDonald's,Ver very slow service,1,06/24/2024
McDonald's,"Food and staff are great, but late night this is not a place to linger and dine in.  Takeout for sure.",3,06/24/2024
McDonald's,"This place continues to disappoint. It's the closest location to me but every time I order there whether it's pick up or delivery there's an issue. Always an item missing, a mistake in the meal, it's never as ordered. Get your McDonald's fix from the Queen and Spadina location instead.",2,06/22/2024
McDonald's,"Regular place, but they didn’t receive our order we made at the electronic counter. Had to wait longer. The cafe is really small, only few tables, but overall is good.",4,06/22/2024
McDonald's,Few minutes ago I ordered take way chicken nuggets with medium fries asked for honey mustard dip but when I came home there is nothing .I couldn’t get taste in nuggets . Very irresponsible service,1,06/03/2024
McDonald's,"Purchase a medium size soft drink on the app. Came to pick up; waited at least 9 minutes for my drink to be handed to me. I was the only customer at the time (it was midnight & raining). When I arrived my drink were already made. I was expecting for my drink to be handed to me within 2-3 minutes of waiting, nope! Took longer than I expected. I tried knocking on the window hoping the workers would notice me waiting (don’t want to be rude to just open the window myself). Saw the workers were busy chitchatting with their colleagues having laughs not bothering checking the pickup window from time to time. It was until a dude who I think weren’t on his shift saw me waiting in the rain with my umbrella, came to me and finally gave me my drink. If it wasn’t for him, who knows how much longer I would be waiting. C’mon! Disappointing.",1,05/27/2024
McDonald's,Ice cream machine always down at this place. Unhygienic homeless people lingering,2,05/20/2024
McDonald's,bad experience to pick up orders and time waste,1,05/13/2024
